state_abbr,state_name,year,chemical_name,hs6,shipment_records,total_quantity_kg,total_value_usd,avg_match_score,max_match_score
SC,South Carolina,2019,sodium borohydride,285000,2,20000.0,30287.6845703125,1.0,1.0
WA,Washington,2019,sodium borohydride,285000,1,10000.0,0.0,1.0,1.0
SC,South Carolina,2020,PROPANOYL BROMIDE,290369,1,100000.0,16920.39453125,0.9032258064516129,0.9032258064516129
SC,South Carolina,2020,PROPANOYL BROMIDE,291590,1,10000.0,9329.794921875,0.9032258064516129,0.9032258064516129
SC,South Carolina,2020,PROPANOYL BROMIDE,292390,2,200000.0,0.0,0.9032258064516129,0.9032258064516129
SC,South Carolina,2020,sodium borohydride,285000,4,40000.0,39284.67578125,1.0,1.0
WA,Washington,2020,sodium borohydride,285000,2,20000.0,12291.9189453125,1.0,1.0
SC,South Carolina,2021,PROPANOYL BROMIDE,291590,2,200000.0,43529.681640625,0.9032258064516129,0.9032258064516129
SC,South Carolina,2021,PROPANOYL BROMIDE,292390,2,200000.0,47764.8203125,0.9032258064516129,0.9032258064516129
SC,South Carolina,2021,PROPANOYL BROMIDE,382499,1,100000.0,32359.3359375,0.9032258064516129,0.9032258064516129
SC,South Carolina,2021,PROPANOYL BROMIDE,970191,2,200000.0,777104.9375,0.9032258064516129,0.9032258064516129
PA,Pennsylvania,2023,"2-PROPENOIC ACID, ETHYL ESTER",UNKNOWN,1,0.0,0.0,1.0,1.0
